Provider,Device,Sub-device,Standardized Model,MSRP,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
CompAsia,iPhone,Pro,iPhone 14 Pro,5299.0,,128.0,Unknown,Unknown,,1325.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 14 Pro,7799.0,,1024.0,Unknown,Unknown,,1675.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 14 Pro,6799.0,,512.0,Unknown,Unknown,,1600.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 14 Pro (eSIM),5299.0,,128.0,Unknown,Unknown,,1140.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 14 Pro (eSIM),7799.0,,1024.0,Unknown,Unknown,,1465.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 14 Pro (eSIM),5799.0,,256.0,Unknown,Unknown,,1310.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro,iPhone 14 Pro (eSIM),6799.0,,512.0,Unknown,Unknown,,1375.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max,5799.0,,128.0,Unknown,Unknown,,1575.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max,8299.0,,1024.0,Unknown,Unknown,,1975.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max,6299.0,,256.0,Unknown,Unknown,,1700.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max,7299.0,,512.0,Unknown,Unknown,,1835.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max (eSIM),5799.0,,128.0,Unknown,Unknown,,1350.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max (eSIM),8299.0,,1024.0,Unknown,Unknown,,1700.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max (eSIM),6299.0,,256.0,Unknown,Unknown,,1445.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Pro Max,iPhone 14 Pro Max (eSIM),7299.0,,512.0,Unknown,Unknown,,1560.0,2022,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 15,3499.0,,128.0,Unknown,Unknown,,1460.0,2023,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 15,3999.0,,256.0,Unknown,Unknown,,1625.0,2023,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 15,4999.0,,512.0,Unknown,Unknown,,1775.0,2023,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 15 (eSIM),3499.0,,128.0,Unknown,Unknown,,1210.0,2023,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 15 (eSIM),3999.0,,256.0,Unknown,Unknown,,1320.0,2023,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Standard,iPhone 15 (eSIM),4999.0,,512.0,Unknown,Unknown,,1445.0,2023,A16 Bionic,,,,,,,Unknown
CompAsia,iPhone,Plus,iPhone 15 Plus,3999.0,,128.0,Unknown,Unknown,,1550.0,2023,A16 Bionic,,,,,,,Unknown
