Device,Sub-device,Provider,Tier,FitGroup,n_rows,n_distinct_ages,form,a,b,rmse,r2,relative_r2,max_observed_retention,a_hit_ceiling
iPhone,Plus,Switch,1_subdevice_provider,iPhone | Plus | Switch,22,7,exponential,1.4891,0.49793,0.02642,0.97854,0.99979,0.52263,False
iPhone,Pro,Switch,1_subdevice_provider,iPhone | Pro | Switch,25,7,exponential,0.81298,0.31227,0.02438,0.9742,0.99663,0.58011,False
iPhone,Pro Max,Switch,1_subdevice_provider,iPhone | Pro Max | Switch,24,7,exponential,0.84158,0.29911,0.02075,0.98462,0.99552,0.60106,False
iPhone,Standard,Switch,1_subdevice_provider,iPhone | Standard | Switch,51,13,exponential,1.03688,0.49763,0.09072,0.69162,0.99975,0.57264,False
iPhone,Plus,U Mobile,1_subdevice_provider,iPhone | Plus | U Mobile,12,4,exponential,0.93344,0.33278,0.02813,0.97362,0.99882,0.53013,False
iPhone,Pro,U Mobile,1_subdevice_provider,iPhone | Pro | U Mobile,24,7,exponential,0.83528,0.3111,0.03015,0.96426,0.99522,0.5501,False
iPhone,Pro Max,U Mobile,1_subdevice_provider,iPhone | Pro Max | U Mobile,24,7,exponential,0.8158,0.28836,0.03229,0.95849,0.99238,0.55009,False
iPhone,Standard,U Mobile,1_subdevice_provider,iPhone | Standard | U Mobile,37,9,exponential,0.83802,0.3429,0.06511,0.86429,0.99364,0.55014,False
iPhone,Plus,UR,1_subdevice_provider,iPhone | Plus | UR,22,7,exponential,1.4891,0.49793,0.02642,0.97854,0.99979,0.52263,False
iPhone,Pro,UR,1_subdevice_provider,iPhone | Pro | UR,25,7,exponential,0.81298,0.31227,0.02438,0.9742,0.99663,0.58011,False
iPhone,Pro Max,UR,1_subdevice_provider,iPhone | Pro Max | UR,24,7,exponential,0.84158,0.29911,0.02075,0.98462,0.99552,0.60106,False
iPhone,Standard,UR,1_subdevice_provider,iPhone | Standard | UR,51,13,exponential,1.03688,0.49763,0.09072,0.69162,0.99975,0.57264,False
iPhone,Plus,iTworld,1_subdevice_provider,iPhone | Plus | iTworld,22,7,exponential,1.4891,0.49793,0.02642,0.97854,0.99979,0.52263,False
iPhone,Pro,iTworld,1_subdevice_provider,iPhone | Pro | iTworld,25,7,exponential,0.81298,0.31227,0.02438,0.9742,0.99663,0.58011,False
iPhone,Pro Max,iTworld,1_subdevice_provider,iPhone | Pro Max | iTworld,24,7,exponential,0.84158,0.29911,0.02075,0.98462,0.99552,0.60106,False
iPhone,Standard,iTworld,1_subdevice_provider,iPhone | Standard | iTworld,51,13,exponential,1.03688,0.49763,0.09072,0.69162,0.99975,0.57264,False
iPhone,(device-level),CompAsia,2_device_provider,iPhone | (device-level) | CompAsia,151,9,exponential,0.77567,0.34213,0.06182,0.83936,0.99529,0.55192,False
iPhone,(device-level),Machines,2_device_provider,iPhone | (device-level) | Machines,153,9,exponential,0.77706,0.34228,0.06196,0.83686,0.99529,0.55192,False
iPhone,(device-level),Switch,2_device_provider,iPhone | (device-level) | Switch,139,13,exponential,1.09757,0.51737,0.09332,0.72251,0.99967,0.60106,False
iPhone,(device-level),U Mobile,2_device_provider,iPhone | (device-level) | U Mobile,109,9,exponential,0.85707,0.3445,0.0548,0.8961,0.99562,0.55014,False
iPhone,(device-level),UR,2_device_provider,iPhone | (device-level) | UR,139,13,exponential,1.09757,0.51737,0.09332,0.72251,0.99967,0.60106,False
iPhone,(device-level),iTworld,2_device_provider,iPhone | (device-level) | iTworld,139,13,exponential,1.09757,0.51737,0.09332,0.72251,0.99967,0.60106,False
iPhone,(pooled),(pooled),3_device_only,"iPhone | (pooled, all providers)",830,13,exponential,1.12061,0.51885,0.09876,0.66768,0.99967,0.60106,False
