Standardized Model,Mac Family,RAM Configurations (GB)
MacBook Pro i7 2.9GHz 15-inch (Mid 2017),MacBook Pro,"16, 32"
MacBook Pro i7 3.1GHz 13-inch (Early 2015),MacBook Pro,"8, 16"
MacBook Pro i7 3.1GHz 15-inch (Mid 2017),MacBook Pro,"16, 32"
MacBook Pro i7 3.3GHz 13-inch (Late 2016),MacBook Pro,"8, 16"
MacBook Pro i7 3.5GHz 13-inch (Mid 2017),MacBook Pro,"8, 16"
MacBook Pro i9 2.3GHz 15-inch (Mid 2019),MacBook Pro,"16, 32"
MacBook Pro i9 2.3GHz 16-inch (Late 2019),MacBook Pro,"16, 32, 64"
MacBook Pro i9 2.4GHz 15-inch (Mid 2019),MacBook Pro,"16, 32"
MacBook Pro i9 2.4GHz 16-inch (Late 2019),MacBook Pro,"16, 32, 64"
MacBook Pro i9 2.9GHz 15-inch (Mid 2018),MacBook Pro,"16, 32"
MacBook i5 1.3GHz 12-inch (Mid 2017),MacBook,"8, 16"
MacBook i7 1.4GHz 12-inch (Mid 2017),MacBook,"8, 16"
iMac M1 8-Core CPU & 7-Core GPU 24-inch (Early 2021),iMac,"8, 16"
iMac M1 8-Core CPU & 8-Core GPU 24-inch (Early 2021),iMac,"8, 16"
iMac M3 8-Core CPU & 10-Core GPU 24-inch (Late 2023),iMac,"8, 16, 24"
iMac M3 8-Core CPU & 8-Core GPU 24-inch (Late 2023),iMac,"8, 16, 24"
iMac M4 10-Core CPU & 10-Core GPU 24-inch (Late 2024),iMac,"16, 24, 32"
iMac M4 8-Core CPU & 8-Core GPU 24-inch (Late 2024),iMac,"16, 24, 32"
iMac Pro Xeon W 2.3GHz 27-inch (Late 2017),iMac Pro,"32, 64, 128"
iMac Pro Xeon W 2.5GHz 27-inch (Late 2017),iMac Pro,"32, 64, 128"
iMac Pro Xeon W 3.0GHz 27-inch (Late 2017),iMac Pro,"32, 64, 128"
iMac Pro Xeon W 3.2GHz 27-inch (Late 2017),iMac Pro,"32, 64, 128"
iMac i5 3.0GHz 27-inch (Early 2019),iMac,"8, 16, 32, 64"
iMac i5 3.1GHz 27-inch (Early 2019),iMac,"8, 16, 32, 64"
iMac i5 3.1GHz 27-inch (Mid 2020),iMac,"8, 16, 32, 64, 128"
iMac i5 3.3GHz 27-inch (Mid 2020),iMac,"8, 16, 32, 64, 128"
iMac i5 3.4GHz 27-inch (Mid 2017),iMac,"8, 16, 32, 64"
iMac i5 3.5GHz 27-inch (Mid 2017),iMac,"8, 16, 32, 64"
iMac i5 3.7GHz 27-inch (Early 2019),iMac,"8, 16, 32, 64"
iMac i5 3.8GHz 27-inch (Mid 2017),iMac,"8, 16, 32, 64"
iMac i7 3.8GHz 27-inch (Mid 2020),iMac,"8, 16, 32, 64, 128"
iMac i7 4.2GHz 27-inch (Mid 2017),iMac,"8, 16, 32, 64"
iMac i9 3.6GHz 27-inch (Early 2019),iMac,"8, 16, 32, 64"
iMac i9 3.6GHz 27-inch (Mid 2020),iMac,"8, 16, 32, 64, 128"
