Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM),Model_Year,Chipset,Screen Size,Case Size,Charging Method,RAM Configurations (GB),RAM Min (GB),Mac Storage Category,Mac Generation
Switch,Mac,MacBook Pro,MacBook Pro i5 2.7GHz 13-inch (Early 2015),,1 TB,SSD,,,120,2015,Intel Core i5,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i5 2.9GHz 13-inch (Early 2015),,128 GB,SSD,,,120,2015,Intel Core i5,13.0,,,"8, 16",8.0,128 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 2.9GHz 13-inch (Early 2015),,256 GB,SSD,,,120,2015,Intel Core i5,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 2.9GHz 13-inch (Early 2015),,512 GB,SSD,,,120,2015,Intel Core i5,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 2.9GHz 13-inch (Early 2015),,1 TB,SSD,,,120,2015,Intel Core i5,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i5 2.9GHz 13-inch (Late 2016),,256 GB,SSD,,,400,2016,Intel Core i5,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 2.9GHz 13-inch (Late 2016),,512 GB,SSD,,,450,2016,Intel Core i5,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 2.9GHz 13-inch (Late 2016),,1 TB,SSD,,,460,2016,Intel Core i5,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i5 3.1GHz 13-inch (Late 2016),,256 GB,SSD,,,470,2016,Intel Core i5,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 3.1GHz 13-inch (Late 2016),,512 GB,SSD,,,480,2016,Intel Core i5,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 3.1GHz 13-inch (Late 2016),,1 TB,SSD,,,490,2016,Intel Core i5,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i5 3.1GHz 13-inch (Mid 2017),,256 GB,SSD,,,500,2017,Intel Core i5,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 3.1GHz 13-inch (Mid 2017),,512 GB,SSD,,,530,2017,Intel Core i5,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 3.1GHz 13-inch (Mid 2017),,1 TB,SSD,,,600,2017,Intel Core i5,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i5 3.3GHz 13-inch (Mid 2017),,256 GB,SSD,,,500,2017,Intel Core i5,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 3.3GHz 13-inch (Mid 2017),,512 GB,SSD,,,530,2017,Intel Core i5,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i5 3.3GHz 13-inch (Mid 2017),,1 TB,SSD,,,600,2017,Intel Core i5,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 1.7GHz 13-inch (Mid 2019),,128 GB,SSD,,,500,2019,Intel Core i7,13.0,,,"8, 16",8.0,128 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 1.7GHz 13-inch (Mid 2019),,256 GB,SSD,,,570,2019,Intel Core i7,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 1.7GHz 13-inch (Mid 2019),,512 GB,SSD,,,610,2019,Intel Core i7,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 1.7GHz 13-inch (Mid 2019),,1 TB,SSD,,,690,2019,Intel Core i7,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 1.7GHz 13-inch (Mid 2019),,2 TB,SSD,,,730,2019,Intel Core i7,13.0,,,"8, 16",8.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 1.7GHz 13-inch (Mid 2020),,256 GB,SSD,,,780,2020,Intel Core i7,13.0,,,"8, 16",8.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 1.7GHz 13-inch (Mid 2020),,512 GB,SSD,,,790,2020,Intel Core i7,13.0,,,"8, 16",8.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 1.7GHz 13-inch (Mid 2020),,1 TB,SSD,,,830,2020,Intel Core i7,13.0,,,"8, 16",8.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 1.7GHz 13-inch (Mid 2020),,2 TB,SSD,,,920,2020,Intel Core i7,13.0,,,"8, 16",8.0,2 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.2GHz 15-inch (Mid 2015),,256 GB,SSD,,,200,2015,Intel Core i7,15.0,,,16,16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.2GHz 15-inch (Mid 2015),,512 GB,SSD,,,200,2015,Intel Core i7,15.0,,,16,16.0,512 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.2GHz 15-inch (Mid 2015),,1 TB,SSD,,,200,2015,Intel Core i7,15.0,,,16,16.0,1 TB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.2GHz 15-inch (Mid 2018),,256 GB,SSD,,,910,2018,Intel Core i7,15.0,,,"16, 32",16.0,256 GB,
Switch,Mac,MacBook Pro,MacBook Pro i7 2.2GHz 15-inch (Mid 2018),,512 GB,SSD,,,920,2018,Intel Core i7,15.0,,,"16, 32",16.0,512 GB,
