Provider,Device,Sub-device,Standardized Model,Specification,Storage (GB),Storage Type,Connectivity,Material,Max. Trade-In Value (RM)
CompAsia,iPhone,iPhone,iPhone 16 Pro Max,,512 GB,,,,3300
CompAsia,iPhone,iPhone,iPhone 16 Pro Max (eSIM),,1 TB,,,,3245
CompAsia,iPhone,iPhone,iPhone 16 Pro Max (eSIM),,256 GB,,,,2665
CompAsia,iPhone,iPhone,iPhone 16 Pro Max (eSIM),,512 GB,,,,2940
CompAsia,iPhone,iPhone,iPhone 17,,256 GB,,,,2135
CompAsia,iPhone,iPhone,iPhone 17,,512 GB,,,,2670
CompAsia,iPhone,iPhone,iPhone 17 Pro,,1 TB,,,,4100
CompAsia,iPhone,iPhone,iPhone 17 Pro,,256 GB,,,,3035
CompAsia,iPhone,iPhone,iPhone 17 Pro,,512 GB,,,,3570
CompAsia,iPhone,iPhone,iPhone 17 Pro Max,,1 TB,,,,4370
CompAsia,iPhone,iPhone,iPhone 17 Pro Max,,256 GB,,,,3300
CompAsia,iPhone,iPhone,iPhone 17 Pro Max,,2 TB,,,,5435
CompAsia,iPhone,iPhone,iPhone 17 Pro Max,,512 GB,,,,3835
CompAsia,iPhone,iPhone,iPhone 8 Plus,,128 GB,,,,150
CompAsia,iPhone,iPhone,iPhone 8 Plus,,256 GB,,,,180
CompAsia,iPhone,iPhone,iPhone 8 Plus,,64 GB,,,,120
CompAsia,iPhone,iPhone,iPhone Air,,1 TB,,,,3445
CompAsia,iPhone,iPhone,iPhone Air,,256 GB,,,,2490
CompAsia,iPhone,iPhone,iPhone Air,,512 GB,,,,2965
CompAsia,iPhone,iPhone,iPhone SE (2020),,128 GB,,,,175
CompAsia,iPhone,iPhone,iPhone SE (2020),,256 GB,,,,200
CompAsia,iPhone,iPhone,iPhone SE (2020),,64 GB,,,,125
CompAsia,iPhone,iPhone,iPhone SE (2022),,128 GB,,,,325
CompAsia,iPhone,iPhone,iPhone SE (2022),,256 GB,,,,350
CompAsia,iPhone,iPhone,iPhone SE (2022),,64 GB,,,,275
CompAsia,iPhone,iPhone,iPhone X,,256 GB,,,,185
CompAsia,iPhone,iPhone,iPhone X,,64 GB,,,,130
CompAsia,iPhone,iPhone,iPhone XR,,128 GB,,,,220
CompAsia,iPhone,iPhone,iPhone XR,,256 GB,,,,270
CompAsia,iPhone,iPhone,iPhone XR,,64 GB,,,,155
CompAsia,iPhone,iPhone,iPhone XS,,256 GB,,,,255
CompAsia,iPhone,iPhone,iPhone XS,,512 GB,,,,305
CompAsia,iPhone,iPhone,iPhone XS,,64 GB,,,,205
CompAsia,iPhone,iPhone,iPhone XS Max,,256 GB,,,,365
CompAsia,iPhone,iPhone,iPhone XS Max,,512 GB,,,,390
CompAsia,iPhone,iPhone,iPhone XS Max,,64 GB,,,,285
iTworld,iPhone,iPhone,iPhone 11,,64 GB,,,,300
iTworld,iPhone,iPhone,iPhone 11,,128 GB,,,,350
iTworld,iPhone,iPhone,iPhone 11,,256 GB,,,,460
iTworld,iPhone,iPhone,iPhone 11 Pro,,64 GB,,,,400
iTworld,iPhone,iPhone,iPhone 11 Pro,,256 GB,,,,450
iTworld,iPhone,iPhone,iPhone 11 Pro,,512 GB,,,,590
iTworld,iPhone,iPhone,iPhone 11 Pro Max,,64 GB,,,,490
iTworld,iPhone,iPhone,iPhone 11 Pro Max,,256 GB,,,,560
iTworld,iPhone,iPhone,iPhone 11 Pro Max,,512 GB,,,,650
