Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro Max (eSIM),1TB,3245,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro Max (eSIM),256GB,2665,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro Max (eSIM),512GB,2940,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 17,256GB,2135,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 17,512GB,2670,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro,1TB,4100,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro,256GB,3035,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro,512GB,3570,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro Max,1TB,4370,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro Max,256GB,3300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro Max,2TB,5435,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro Max,512GB,3835,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 8 Plus,128GB,150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 8 Plus,256GB,180,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone 8 Plus,64GB,120,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone Air,1TB,3445,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone Air,256GB,2490,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone Air,512GB,2965,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone SE (2020),128GB,175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone SE (2020),256GB,200,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone SE (2020),64GB,125,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone SE,"5G, 128GB",325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone SE,"5G, 256GB",350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone SE,"5G, 64GB",275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone X/10,256GB,185,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone X/10,64GB,130,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone XR,128GB,220,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone XR,256GB,270,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone XR,64GB,155,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone XS,256GB,255,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone XS,512GB,305,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone XS,64GB,205,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone XS Max,256GB,365,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone XS Max,512GB,390,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPhone,iPhone XS Max,64GB,285,https://compasia.my/pages/trade-in
