Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,Mac,iMac M1 8-Core CPU and 8-Core GPU 24 inch (Early 2021),512GB SSD,725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M3 8-Core CPU and 10-Core GPU 24 inch (Late 2023),1TB SSD,3250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M3 8-Core CPU and 10-Core GPU 24 inch (Late 2023),256GB SSD,2650,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M3 8-Core CPU and 10-Core GPU 24 inch (Late 2023),2TB SSD,3725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M3 8-Core CPU and 10-Core GPU 24 inch (Late 2023),512GB SSD,2950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M3 8-Core CPU and 8-Core GPU 24 inch (Late 2023),1TB SSD,2800,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M3 8-Core CPU and 8-Core GPU 24 inch (Late 2023),256GB SSD,2175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M3 8-Core CPU and 8-Core GPU 24 inch (Late 2023),512GB SSD,2500,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M4 10-Core CPU and 10 Core GPU 24 inch (Late 2024),1TB SSD,3575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M4 10-Core CPU and 10 Core GPU 24 inch (Late 2024),256GB SSD,2725,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M4 10-Core CPU and 10 Core GPU 24 inch (Late 2024),2TB SSD,3925,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M4 10-Core CPU and 10 Core GPU 24 inch (Late 2024),512GB SSD,3200,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M4 8-Core CPU and 8 Core GPU 24 inch (Late 2024),1TB SSD,3200,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M4 8-Core CPU and 8 Core GPU 24 inch (Late 2024),256GB SSD,2450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac M4 8-Core CPU and 8 Core GPU 24 inch (Late 2024),512GB SSD,2825,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 2.3GHz 27 inch (Late 2017),1TB SSD,750,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 2.3GHz 27 inch (Late 2017),2TB SSD,850,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 2.3GHz 27 inch (Late 2017),4TB SSD,950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 2.5GHz 27 inch (Late 2017),1TB SSD,900,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 2.5GHz 27 inch (Late 2017),2TB SSD,975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 2.5GHz 27 inch (Late 2017),4TB SSD,1050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 3.0GHz 27 inch (Late 2017),1TB SSD,950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 3.0GHz 27 inch (Late 2017),2TB SSD,975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 3.0GHz 27 inch (Late 2017),4TB SSD,1000,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 3.2GHz 27 inch (Late 2017),1TB SSD,750,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 3.2GHz 27 inch (Late 2017),2TB SSD,850,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,iMac Pro Xeon W 3.2GHz 27 inch (Late 2017),4TB SSD,950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i3 1.1GHz 13 inch (Early 2020),1TB SSD,350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i3 1.1GHz 13 inch (Early 2020),256GB SSD,345,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i3 1.1GHz 13 inch (Early 2020),2TB SSD,420,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i3 1.1GHz 13 inch (Early 2020),512GB SSD,350,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.1GHz 13 inch (Early 2020),1TB SSD,475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.1GHz 13 inch (Early 2020),256GB SSD,450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.1GHz 13 inch (Early 2020),2TB SSD,550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.1GHz 13 inch (Early 2020),512GB SSD,475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.6GHz 13 inch (Late 2018),128GB SSD,400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.6GHz 13 inch (Late 2018),1.5TB SSD,500,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.6GHz 13 inch (Late 2018),256GB SSD,400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.6GHz 13 inch (Late 2018),512GB SSD,475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.6GHz 13 inch (Mid 2019),128GB SSD,400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.6GHz 13 inch (Mid 2019),1TB SSD,475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.6GHz 13 inch (Mid 2019),256GB SSD,400,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.6GHz 13 inch (Mid 2019),512GB SSD,475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.8GHz 13 inch (Mid 2017),128GB SSD,175,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.8GHz 13 inch (Mid 2017),256GB SSD,225,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i5 1.8GHz 13 inch (Mid 2017),512GB SSD,250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i7 1.2GHz 13 inch (Early 2020),1TB SSD,500,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i7 1.2GHz 13 inch (Early 2020),256GB SSD,475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i7 1.2GHz 13 inch (Early 2020),2TB SSD,575,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i7 1.2GHz 13 inch (Early 2020),512GB SSD,475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i7 2.2GHz 13 inch (Mid 2017),128GB SSD,250,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i7 2.2GHz 13 inch (Mid 2017),256GB SSD,300,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air i7 2.2GHz 13 inch (Mid 2017),512GB SSD,425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M1 8-Core CPU and 7-Core GPU 13 inch (Late 2020),128GB SSD,505,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M1 8-Core CPU and 7-Core GPU 13 inch (Late 2020),1TB SSD,605,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M1 8-Core CPU and 7-Core GPU 13 inch (Late 2020),256GB SSD,605,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M1 8-Core CPU and 7-Core GPU 13 inch (Late 2020),2TB SSD,705,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M1 8-Core CPU and 7-Core GPU 13 inch (Late 2020),512GB SSD,605,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M1 8-Core CPU and 8-Core GPU 13 inch (Late 2020),1TB SSD,705,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M1 8-Core CPU and 8-Core GPU 13 inch (Late 2020),256GB SSD,570,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M1 8-Core CPU and 8-Core GPU 13 inch (Late 2020),2TB SSD,755,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M1 8-Core CPU and 8-Core GPU 13 inch (Late 2020),512GB SSD,655,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 10-Core GPU 13.6 inch (Mid 2022),1TB SSD,1550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 10-Core GPU 13.6 inch (Mid 2022),256GB SSD,1200,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 10-Core GPU 13.6 inch (Mid 2022),2TB SSD,2015,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 10-Core GPU 13.6 inch (Mid 2022),512GB SSD,1395,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 10-Core GPU 15 inch (Mid 2023),1TB SSD,2245,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 10-Core GPU 15 inch (Mid 2023),256GB SSD,1855,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 10-Core GPU 15 inch (Mid 2023),2TB SSD,2815,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 10-Core GPU 15 inch (Mid 2023),512GB SSD,2015,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 8-Core GPU 13.6 inch (Mid 2022),1TB SSD,1550,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 8-Core GPU 13.6 inch (Mid 2022),256GB SSD,1200,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 8-Core GPU 13.6 inch (Mid 2022),2TB SSD,1990,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M2 8-Core CPU and 8-Core GPU 13.6 inch (Mid 2022),512GB SSD,1395,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M3 8-Core CPU and 10-Core GPU 13.6 inch (Early 2024),1TB SSD,2450,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,Mac,MacBook Air M3 8-Core CPU and 10-Core GPU 13.6 inch (Early 2024),256GB SSD,1950,https://compasia.my/pages/trade-in
