Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Source URL
,Trade-in Platform,CompAsia,iPad,iPad mini 7,"8GB/512GB, Cellular",1475,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/128GB, Wi-Fi",700,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/1TB, Wi-Fi",950,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/256GB, Wi-Fi",775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/512GB, Wi-Fi",900,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/128GB, Cellular",775,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/1TB, Cellular",1075,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/256GB, Cellular",875,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/512GB, Cellular",1050,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","1TB, Wi-Fi",1325,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","2TB, Wi-Fi",1525,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/128GB, Wi-Fi",975,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/256GB, Wi-Fi",1150,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/512GB, Wi-Fi",1275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","1TB, Cellular",1525,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","2TB, Cellular",1700,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/128GB, Cellular",1075,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/256GB, Cellular",1275,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/512GB, Cellular",1425,https://compasia.my/pages/trade-in
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","1TB, Wi-Fi",1650,https://compasia.my/pages/trade-in
