Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Trade-in Platform,CompAsia,iPad,iPad Mini 7,"8GB/256GB, Cellular",1275,iPad Mini 7,2024.0,iPad,iPad mini,7.0,,,,,8.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,iPad Mini 7,"8GB/512GB, Cellular",1475,iPad Mini 7,2024.0,iPad,iPad mini,7.0,,,,,8.0,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/128GB, Wi-Fi",700,"iPad Pro 11-inch (2020, 2nd Gen)",2020.0,iPad,iPad Pro,2.0,2020,11.0,,,6.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/1TB, Wi-Fi",950,"iPad Pro 11-inch (2020, 2nd Gen)",2020.0,iPad,iPad Pro,2.0,2020,11.0,,,6.0,1024.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/256GB, Wi-Fi",775,"iPad Pro 11-inch (2020, 2nd Gen)",2020.0,iPad,iPad Pro,2.0,2020,11.0,,,6.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/512GB, Wi-Fi",900,"iPad Pro 11-inch (2020, 2nd Gen)",2020.0,iPad,iPad Pro,2.0,2020,11.0,,,6.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/128GB, Cellular",775,"iPad Pro 11-inch (2020, 2nd Gen)",2020.0,iPad,iPad Pro,2.0,2020,11.0,,,6.0,128.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/1TB, Cellular",1075,"iPad Pro 11-inch (2020, 2nd Gen)",2020.0,iPad,iPad Pro,2.0,2020,11.0,,,6.0,1024.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/256GB, Cellular",875,"iPad Pro 11-inch (2020, 2nd Gen)",2020.0,iPad,iPad Pro,2.0,2020,11.0,,,6.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2020, 2nd Gen)","6GB/512GB, Cellular",1050,"iPad Pro 11-inch (2020, 2nd Gen)",2020.0,iPad,iPad Pro,2.0,2020,11.0,,,6.0,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","1TB, Wi-Fi",1325,"iPad Pro 11-inch (2021, 3rd Gen)",2021.0,iPad,iPad Pro,3.0,2021,11.0,,,,1024.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","2TB, Wi-Fi",1525,"iPad Pro 11-inch (2021, 3rd Gen)",2021.0,iPad,iPad Pro,3.0,2021,11.0,,,,2048.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/128GB, Wi-Fi",975,"iPad Pro 11-inch (2021, 3rd Gen)",2021.0,iPad,iPad Pro,3.0,2021,11.0,,,8.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/256GB, Wi-Fi",1150,"iPad Pro 11-inch (2021, 3rd Gen)",2021.0,iPad,iPad Pro,3.0,2021,11.0,,,8.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/512GB, Wi-Fi",1275,"iPad Pro 11-inch (2021, 3rd Gen)",2021.0,iPad,iPad Pro,3.0,2021,11.0,,,8.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","1TB, Cellular",1525,"iPad Pro 11-inch (2021, 3rd Gen)",2021.0,iPad,iPad Pro,3.0,2021,11.0,,,,1024.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","2TB, Cellular",1700,"iPad Pro 11-inch (2021, 3rd Gen)",2021.0,iPad,iPad Pro,3.0,2021,11.0,,,,2048.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/128GB, Cellular",1075,"iPad Pro 11-inch (2021, 3rd Gen)",2021.0,iPad,iPad Pro,3.0,2021,11.0,,,8.0,128.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/256GB, Cellular",1275,"iPad Pro 11-inch (2021, 3rd Gen)",2021.0,iPad,iPad Pro,3.0,2021,11.0,,,8.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2021, 3rd Gen)","8GB/512GB, Cellular",1425,"iPad Pro 11-inch (2021, 3rd Gen)",2021.0,iPad,iPad Pro,3.0,2021,11.0,,,8.0,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","1TB, Wi-Fi",1650,"iPad Pro 11-inch (2022, 4th Gen)",2022.0,iPad,iPad Pro,4.0,2022,11.0,,,,1024.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","2TB, Wi-Fi",1900,"iPad Pro 11-inch (2022, 4th Gen)",2022.0,iPad,iPad Pro,4.0,2022,11.0,,,,2048.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/128GB, Wi-Fi",1175,"iPad Pro 11-inch (2022, 4th Gen)",2022.0,iPad,iPad Pro,4.0,2022,11.0,,,8.0,128.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/256GB, Wi-Fi",1325,"iPad Pro 11-inch (2022, 4th Gen)",2022.0,iPad,iPad Pro,4.0,2022,11.0,,,8.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/512GB, Wi-Fi",1525,"iPad Pro 11-inch (2022, 4th Gen)",2022.0,iPad,iPad Pro,4.0,2022,11.0,,,8.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","1TB, Cellular",1750,"iPad Pro 11-inch (2022, 4th Gen)",2022.0,iPad,iPad Pro,4.0,2022,11.0,,,,1024.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","2TB, Cellular",2025,"iPad Pro 11-inch (2022, 4th Gen)",2022.0,iPad,iPad Pro,4.0,2022,11.0,,,,2048.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/128GB, Cellular",1350,"iPad Pro 11-inch (2022, 4th Gen)",2022.0,iPad,iPad Pro,4.0,2022,11.0,,,8.0,128.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/256GB, Cellular",1475,"iPad Pro 11-inch (2022, 4th Gen)",2022.0,iPad,iPad Pro,4.0,2022,11.0,,,8.0,256.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2022, 4th Gen)","8GB/512GB, Cellular",1650,"iPad Pro 11-inch (2022, 4th Gen)",2022.0,iPad,iPad Pro,4.0,2022,11.0,,,8.0,512.0,,Cellular,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","1TB, Wi-Fi",2625,"iPad Pro 11-inch (2024, 5th Gen)",2024.0,iPad,iPad Pro,5.0,2024,11.0,,,,1024.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","2TB, Wi-Fi",3150,"iPad Pro 11-inch (2024, 5th Gen)",2024.0,iPad,iPad Pro,5.0,2024,11.0,,,,2048.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","8GB/256GB, Wi-Fi",1750,"iPad Pro 11-inch (2024, 5th Gen)",2024.0,iPad,iPad Pro,5.0,2024,11.0,,,8.0,256.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","8GB/512GB, Wi-Fi",2125,"iPad Pro 11-inch (2024, 5th Gen)",2024.0,iPad,iPad Pro,5.0,2024,11.0,,,8.0,512.0,,Wi-Fi,
,Trade-in Platform,CompAsia,iPad,"iPad Pro 11-inch (2024, 5th Gen)","1TB, Cellular",2900,"iPad Pro 11-inch (2024, 5th Gen)",2024.0,iPad,iPad Pro,5.0,2024,11.0,,,,1024.0,,Cellular,
