Collection Date,Pricing Category,Provider,Device,Model,Specification,Max. Trade-In Value (RM),Standardized Model,Model_Year,Device Type,Model.1,Generation,Year,Screen Size (inch),Clock Speed,Chipset,RAM (GB),Storage (GB),Storage Type,Connectivity,Model Number
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max (eSIM),256GB,1445,iPhone 14 Pro Max (eSIM),2022.0,iPhone,iPhone 14 Pro Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 14 Pro Max (eSIM),512GB,1560,iPhone 14 Pro Max (eSIM),2022.0,iPhone,iPhone 14 Pro Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15,128GB,1460,iPhone 15,2023.0,iPhone,iPhone 15,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15,256GB,1625,iPhone 15,2023.0,iPhone,iPhone 15,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15,512GB,1775,iPhone 15,2023.0,iPhone,iPhone 15,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 (eSIM),128GB,1210,iPhone 15 (eSIM),2023.0,iPhone,iPhone 15,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 (eSIM),256GB,1320,iPhone 15 (eSIM),2023.0,iPhone,iPhone 15,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 (eSIM),512GB,1445,iPhone 15 (eSIM),2023.0,iPhone,iPhone 15,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Plus,128GB,1550,iPhone 15 Plus,2023.0,iPhone,iPhone 15 Plus,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Plus,256GB,1775,iPhone 15 Plus,2023.0,iPhone,iPhone 15 Plus,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Plus (eSIM),128GB,1295,iPhone 15 Plus (eSIM),2023.0,iPhone,iPhone 15 Plus,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Plus (eSIM),256GB,1440,iPhone 15 Plus (eSIM),2023.0,iPhone,iPhone 15 Plus,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Plus (eSIM),512GB,1640,iPhone 15 Plus (eSIM),2023.0,iPhone,iPhone 15 Plus,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro,128GB,1725,iPhone 15 Pro,2023.0,iPhone,iPhone 15 Pro,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro,1TB,2350,iPhone 15 Pro,2023.0,iPhone,iPhone 15 Pro,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro,256GB,2000,iPhone 15 Pro,2023.0,iPhone,iPhone 15 Pro,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro,512GB,2125,iPhone 15 Pro,2023.0,iPhone,iPhone 15 Pro,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro (eSIM),128GB,1535,iPhone 15 Pro (eSIM),2023.0,iPhone,iPhone 15 Pro,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro (eSIM),1TB,2050,iPhone 15 Pro (eSIM),2023.0,iPhone,iPhone 15 Pro,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro (eSIM),256GB,1665,iPhone 15 Pro (eSIM),2023.0,iPhone,iPhone 15 Pro,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro (eSIM),512GB,1830,iPhone 15 Pro (eSIM),2023.0,iPhone,iPhone 15 Pro,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max,1TB,2650,iPhone 15 Pro Max,2023.0,iPhone,iPhone 15 Pro Max,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max,256GB,2200,iPhone 15 Pro Max,2023.0,iPhone,iPhone 15 Pro Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max,512GB,2425,iPhone 15 Pro Max,2023.0,iPhone,iPhone 15 Pro Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max (eSIM),1TB,2340,iPhone 15 Pro Max (eSIM),2023.0,iPhone,iPhone 15 Pro Max,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max (eSIM),256GB,1830,iPhone 15 Pro Max (eSIM),2023.0,iPhone,iPhone 15 Pro Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 15 Pro Max (eSIM),512GB,2090,iPhone 15 Pro Max (eSIM),2023.0,iPhone,iPhone 15 Pro Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16,128GB,1800,iPhone 16,2024.0,iPhone,iPhone 16,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16,256GB,2075,iPhone 16,2024.0,iPhone,iPhone 16,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16,512GB,2430,iPhone 16,2024.0,iPhone,iPhone 16,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16e,128GB,1125,iPhone 16e,2025.0,iPhone,iPhone 16e,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16e,256GB,1275,iPhone 16e,2025.0,iPhone,iPhone 16e,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16e,512GB,1675,iPhone 16e,2025.0,iPhone,iPhone 16e,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16e (eSIM),128GB,1065,iPhone 16e (eSIM),2025.0,iPhone,iPhone 16e,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16e (eSIM),256GB,1225,iPhone 16e (eSIM),2025.0,iPhone,iPhone 16e,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16e (eSIM),512GB,1590,iPhone 16e (eSIM),2025.0,iPhone,iPhone 16e,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 (eSIM),128GB,1570,iPhone 16 (eSIM),2024.0,iPhone,iPhone 16,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 (eSIM),256GB,1785,iPhone 16 (eSIM),2024.0,iPhone,iPhone 16,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 (eSIM),512GB,2065,iPhone 16 (eSIM),2024.0,iPhone,iPhone 16,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Plus,128GB,2120,iPhone 16 Plus,2024.0,iPhone,iPhone 16 Plus,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Plus,256GB,2335,iPhone 16 Plus,2024.0,iPhone,iPhone 16 Plus,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Plus,512GB,2690,iPhone 16 Plus,2024.0,iPhone,iPhone 16 Plus,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Plus (eSIM),128GB,1800,iPhone 16 Plus (eSIM),2024.0,iPhone,iPhone 16 Plus,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Plus (eSIM),256GB,1985,iPhone 16 Plus (eSIM),2024.0,iPhone,iPhone 16 Plus,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Plus (eSIM),512GB,2285,iPhone 16 Plus (eSIM),2024.0,iPhone,iPhone 16 Plus,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro,128GB,2300,iPhone 16 Pro,2024.0,iPhone,iPhone 16 Pro,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro,1TB,3400,iPhone 16 Pro,2024.0,iPhone,iPhone 16 Pro,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro,256GB,2525,iPhone 16 Pro,2024.0,iPhone,iPhone 16 Pro,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro,512GB,2925,iPhone 16 Pro,2024.0,iPhone,iPhone 16 Pro,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro (eSIM),128GB,2110,iPhone 16 Pro (eSIM),2024.0,iPhone,iPhone 16 Pro,,,,,,,128.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro (eSIM),1TB,2945,iPhone 16 Pro (eSIM),2024.0,iPhone,iPhone 16 Pro,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro (eSIM),256GB,2295,iPhone 16 Pro (eSIM),2024.0,iPhone,iPhone 16 Pro,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro (eSIM),512GB,2600,iPhone 16 Pro (eSIM),2024.0,iPhone,iPhone 16 Pro,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro Max,1TB,3675,iPhone 16 Pro Max,2024.0,iPhone,iPhone 16 Pro Max,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro Max,256GB,3075,iPhone 16 Pro Max,2024.0,iPhone,iPhone 16 Pro Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro Max,512GB,3300,iPhone 16 Pro Max,2024.0,iPhone,iPhone 16 Pro Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro Max (eSIM),1TB,3245,iPhone 16 Pro Max (eSIM),2024.0,iPhone,iPhone 16 Pro Max,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro Max (eSIM),256GB,2665,iPhone 16 Pro Max (eSIM),2024.0,iPhone,iPhone 16 Pro Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 16 Pro Max (eSIM),512GB,2940,iPhone 16 Pro Max (eSIM),2024.0,iPhone,iPhone 16 Pro Max,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 17,256GB,2135,iPhone 17,2025.0,iPhone,iPhone 17,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 17,512GB,2670,iPhone 17,2025.0,iPhone,iPhone 17,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro,1TB,4100,iPhone 17 Pro,2025.0,iPhone,iPhone 17 Pro,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro,256GB,3035,iPhone 17 Pro,2025.0,iPhone,iPhone 17 Pro,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro,512GB,3570,iPhone 17 Pro,2025.0,iPhone,iPhone 17 Pro,,,,,,,512.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro Max,1TB,4370,iPhone 17 Pro Max,2025.0,iPhone,iPhone 17 Pro Max,,,,,,,1024.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro Max,256GB,3300,iPhone 17 Pro Max,2025.0,iPhone,iPhone 17 Pro Max,,,,,,,256.0,,,
,Trade-in Platform,CompAsia,iPhone,iPhone 17 Pro Max,2TB,5435,iPhone 17 Pro Max,2025.0,iPhone,iPhone 17 Pro Max,,,,,,,2048.0,,,
